epoch,step,train_loss,val_dice,best_dice,lr
1,58,1.0840489679369434,0.0026463130488991737,0.0026463130488991737,9.999238475781957e-05
2,116,1.053203572487009,-1.0,0.0026463130488991737,9.99695413509548e-05
3,174,1.0292472325522324,-1.0,0.0026463130488991737,9.99314767377287e-05
4,232,1.0109964085036311,-1.0,0.0026463130488991737,9.987820251299122e-05
5,290,0.9889993092109417,-1.0,0.0026463130488991737,9.980973490458728e-05
6,348,0.9709077292475207,-1.0,0.0026463130488991737,9.972609476841366e-05
7,406,0.9585707865912338,-1.0,0.0026463130488991737,9.962730758206609e-05
8,464,0.944897465664765,-1.0,0.0026463130488991737,9.95134034370785e-05
9,522,0.9394503831863403,-1.0,0.0026463130488991737,9.938441702975686e-05
10,580,0.9308346777126707,0.20967242121696472,0.20967242121696472,9.924038765061037e-05
11,638,0.9211307722946693,-1.0,0.20967242121696472,9.908135917238317e-05
12,696,0.9133830368518829,-1.0,0.20967242121696472,9.890738003669025e-05
13,754,0.9055722808015758,-1.0,0.20967242121696472,9.871850323926173e-05
14,812,0.8941684539975792,-1.0,0.20967242121696472,9.851478631379977e-05
15,870,0.8854504905897995,-1.0,0.20967242121696472,9.829629131445336e-05
16,928,0.8748045748677747,-1.0,0.20967242121696472,9.80630847969159e-05
17,986,0.8700789326223833,-1.0,0.20967242121696472,9.781523779815172e-05
18,1044,0.8568093971959476,-1.0,0.20967242121696472,9.755282581475763e-05
19,1102,0.8428419180985155,-1.0,0.20967242121696472,9.72759287799658e-05
20,1160,0.8279805841117069,0.44898349046707153,0.44898349046707153,9.698463103929537e-05
21,1218,0.81356346401675,-1.0,0.44898349046707153,9.667902132486004e-05
22,1276,0.7934201318642189,-1.0,0.44898349046707153,9.635919272833933e-05
23,1334,0.7796854736476109,-1.0,0.44898349046707153,9.602524267262199e-05
24,1392,0.7665596172727388,-1.0,0.44898349046707153,9.567727288213e-05
25,1450,0.7531947997109644,-1.0,0.44898349046707153,9.531538935183248e-05
26,1508,0.752036562253689,-1.0,0.44898349046707153,9.493970231495833e-05
27,1566,0.7395721910328701,-1.0,0.44898349046707153,9.455032620941837e-05
28,1624,0.7392724875746102,-1.0,0.44898349046707153,9.414737964294633e-05
29,1682,0.733181776671574,-1.0,0.44898349046707153,9.373098535696978e-05
30,1740,0.7269156472436313,0.5686509609222412,0.5686509609222412,9.330127018922194e-05
31,1798,0.7191219134577389,-1.0,0.5686509609222412,9.285836503510562e-05
32,1856,0.6992017729529019,-1.0,0.5686509609222412,9.24024048078213e-05
33,1914,0.7129497651396126,-1.0,0.5686509609222412,9.193352839727121e-05
34,1972,0.6995903068575365,-1.0,0.5686509609222412,9.14518786277521e-05
35,2030,0.6837738927068382,-1.0,0.5686509609222412,9.095760221444962e-05
36,2088,0.6825414361624882,-1.0,0.5686509609222412,9.04508497187474e-05
37,2146,0.6791595508312357,-1.0,0.5686509609222412,8.993177550236467e-05
38,2204,0.6774192154407501,-1.0,0.5686509609222412,8.940053768033612e-05
39,2262,0.6763976647936064,-1.0,0.5686509609222412,8.885729807284856e-05
40,2320,0.6747007020588579,0.611053466796875,0.611053466796875,8.83022221559489e-05
41,2378,0.6609046957616148,-1.0,0.611053466796875,8.773547901113862e-05
42,2436,0.661708240878993,-1.0,0.611053466796875,8.715724127386973e-05
43,2494,0.6550452596154707,-1.0,0.611053466796875,8.656768508095856e-05
44,2552,0.6589038289826492,-1.0,0.611053466796875,8.596699001693257e-05
45,2610,0.6332608769679892,-1.0,0.611053466796875,8.535533905932738e-05
46,2668,0.6476554870605469,-1.0,0.611053466796875,8.473291852294987e-05
47,2726,0.6412565045315644,-1.0,0.611053466796875,8.409991800312493e-05
