case,dice
FLARETs_0046,0.5873420238494873
FLARE22_Tr_0049,0.674497663974762
FLARE22_Tr_0030,0.7118701338768005
FLARE22_Tr_0026,0.6005226373672485
FLARE22_Tr_0008,0.6967681050300598
FLARE22_Tr_0047,0.6777384281158447
FLARETs_0033,0.6569499969482422
FLARE22_Tr_0032,0.6793836355209351
MEAN,0.6606340408325195
