epoch,step,train_loss,val_dice,best_dice,lr
1,58,0.4262432101471671,0.6679871678352356,0.6679871678352356,7.996916144962892e-06
2,116,0.4244115707175485,0.6678982973098755,0.6679871678352356,7.987669334932513e-06
3,174,0.42203193697436103,-1.0,0.6679871678352356,7.972273827819707e-06
4,232,0.42251836123137637,0.6670359373092651,0.6679871678352356,7.950753362380553e-06
5,290,0.42475486777979754,-1.0,0.6679871678352356,7.923141121612924e-06
6,348,0.4217563225277539,0.6651929616928101,0.6679871678352356,7.889479681590708e-06
7,406,0.42564613449162453,-1.0,0.6679871678352356,7.84982094581459e-06
8,464,0.425365896060549,0.6650488376617432,0.6679871678352356,7.804226065180617e-06
9,522,0.4269190851984353,-1.0,0.6679871678352356,7.75276534368994e-06
10,580,0.42965184203509627,0.6655614376068115,0.6679871678352356,7.695518130045148e-06
11,638,0.42660713247184096,-1.0,0.6679871678352356,7.632572695300326e-06
12,696,0.4271131106491747,0.6668146848678589,0.6679871678352356,7.564026096753472e-06
13,754,0.42528983796464986,-1.0,0.6679871678352356,7.48998402829119e-06
14,812,0.428448889276077,0.6656531095504761,0.6679871678352356,7.41056065741637e-06
15,870,0.42761843112008324,-1.0,0.6679871678352356,7.3258784492101824e-06
16,928,0.42434907010917006,0.6661530137062073,0.6679871678352356,7.236067977499791e-06
17,986,0.4277236081402877,-1.0,0.6679871678352356,7.141267723522981e-06
18,1044,0.42414675036381033,0.6662448644638062,0.6679871678352356,7.041623862400126e-06
19,1102,0.4246490679938218,-1.0,0.6679871678352356,6.9372900377427435e-06
20,1160,0.41887724091266765,0.6659280061721802,0.6679871678352356,6.828427124746191e-06
21,1218,0.4220027569039115,-1.0,0.6679871678352356,6.715202982131769e-06
22,1276,0.42218314419532643,0.6673387289047241,0.6679871678352356,6.597792193320737e-06
23,1334,0.42208490803323945,-1.0,0.6679871678352356,6.476375797239337e-06
24,1392,0.4196433214278057,0.666228175163269,0.6679871678352356,6.3511410091698945e-06
25,1450,0.42509262674841386,-1.0,0.6679871678352356,6.222280932078411e-06
26,1508,0.42668895423412323,0.666587233543396,0.6679871678352356,6.089994258863798e-06
27,1566,0.4211277514696121,-1.0,0.6679871678352356,5.954484965987823e-06
28,1624,0.413153531736341,0.6653460264205933,0.6679871678352356,5.81596199895819e-06
29,1682,0.423737666730223,-1.0,0.6679871678352356,5.6746389501497155e-06
30,1740,0.4308096391373667,0.6643219590187073,0.6679871678352356,5.5307337294603625e-06
31,1798,0.42196533751898796,-1.0,0.6679871678352356,5.384468228309975e-06
32,1856,0.4168201880208377,0.6648305654525757,0.6679871678352356,5.236067977499793e-06
33,1914,0.42378418301713877,-1.0,0.6679871678352356,5.0857617994603e-06
34,1972,0.4272048730274727,0.6658772826194763,0.6679871678352356,4.933781455423625e-06
35,2030,0.42690399391897793,-1.0,0.6679871678352356,4.780361288064516e-06
36,2088,0.41940461099147797,0.6660043597221375,0.6679871678352356,4.625737860160926e-06
37,2146,0.4118682125519062,-1.0,0.6679871678352356,4.4701495898313535e-06
38,2204,0.42520967434192525,0.6659200191497803,0.6679871678352356,4.313836382911382e-06
39,2262,0.42211745371078624,-1.0,0.6679871678352356,4.157039263036277e-06
40,2320,0.4314819630877725,0.6647555828094482,0.6679871678352356,4.000000000000002e-06
41,2378,0.4151370607573411,-1.0,0.6679871678352356,3.842960736963729e-06
42,2436,0.421363545389011,0.6654800772666931,0.6679871678352356,3.686163617088623e-06
43,2494,0.41534381693807143,-1.0,0.6679871678352356,3.529850410168652e-06
44,2552,0.4209178758078608,0.6657886505126953,0.6679871678352356,3.3742621398390797e-06
