case,dice
FLARETs_0046,0.6315600872039795
FLARE22_Tr_0049,0.6706492304801941
FLARE22_Tr_0030,0.7037907838821411
FLARE22_Tr_0026,0.5990580916404724
FLARE22_Tr_0008,0.6913968324661255
FLARE22_Tr_0047,0.6738096475601196
FLARETs_0033,0.6480152010917664
FLARE22_Tr_0032,0.6639392375946045
MEAN,0.6602773666381836
