epoch,step,train_loss,val_dice,best_dice,lr
1,58,0.6556372673347078,0.6602773666381836,0.6602773666381836,4.998072590601808e-06
2,116,0.6126928252392801,0.6574690341949463,0.6602773666381836,4.992293334332821e-06
3,174,0.5891346633434296,-1.0,0.6602773666381836,4.982671142387316e-06
4,232,0.5788973708604944,0.6548477411270142,0.6602773666381836,4.9692208514878445e-06
5,290,0.5700720045073279,-1.0,0.6602773666381836,4.9519632010080765e-06
6,348,0.5613738113436205,0.6533960103988647,0.6602773666381836,4.930924800994192e-06
7,406,0.5592406304745838,-1.0,0.6602773666381836,4.906138091134119e-06
8,464,0.554635184078381,0.6519004106521606,0.6602773666381836,4.877641290737885e-06
9,522,0.5551999298662975,-1.0,0.6602773666381836,4.845478339806212e-06
10,580,0.5534238440209421,0.6535176634788513,0.6602773666381836,4.809698831278218e-06
11,638,0.5512323883073084,-1.0,0.6602773666381836,4.7703579345627045e-06
12,696,0.5433417563808376,0.6543965339660645,0.6602773666381836,4.727516310470921e-06
13,754,0.5466536894954485,-1.0,0.6602773666381836,4.6812400176819945e-06
14,812,0.5446894780315202,0.6535871624946594,0.6602773666381836,4.631600410885232e-06
15,870,0.5366532545665215,-1.0,0.6602773666381836,4.578674030756365e-06
