epoch,step,train_loss,val_dice,best_dice,lr
1,58,0.5656580277558031,0.6618950963020325,0.6618950963020325,1.9992290362407232e-05
2,116,0.5743239208542067,0.6617467999458313,0.6618950963020325,1.9969173337331283e-05
3,174,0.5626363260992642,-1.0,0.6618950963020325,1.9930684569549265e-05
4,232,0.5719624706383409,0.6624842882156372,0.6624842882156372,1.9876883405951378e-05
5,290,0.559662554284622,-1.0,0.6624842882156372,1.9807852804032306e-05
6,348,0.5586733977342474,0.663463830947876,0.663463830947876,1.9723699203976768e-05
7,406,0.5591775163494307,-1.0,0.663463830947876,1.9624552364536476e-05
8,464,0.5649461648587523,0.6608250141143799,0.663463830947876,1.951056516295154e-05
9,522,0.5681589800736,-1.0,0.663463830947876,1.9381913359224847e-05
10,580,0.5712101521163151,0.6629914045333862,0.663463830947876,1.923879532511287e-05
11,638,0.5618437379598618,-1.0,0.663463830947876,1.9081431738250818e-05
12,696,0.5607865483596407,0.6636459827423096,0.6636459827423096,1.8910065241883683e-05
13,754,0.5634403100301479,-1.0,0.6636459827423096,1.8724960070727978e-05
14,812,0.5690355922641426,0.6656614542007446,0.6656614542007446,1.8526401643540927e-05
15,870,0.5608355392669809,-1.0,0.6656614542007446,1.831469612302546e-05
16,928,0.5628693083236957,0.6644384860992432,0.6656614542007446,1.809016994374948e-05
17,986,0.5694726268792974,-1.0,0.6656614542007446,1.7853169308807452e-05
18,1044,0.555525416957921,0.6669731140136719,0.6669731140136719,1.7604059656000313e-05
19,1102,0.5601934497726375,-1.0,0.6669731140136719,1.734322509435686e-05
20,1160,0.5619586788374802,0.6660270094871521,0.6669731140136719,1.7071067811865477e-05
21,1218,0.5676328411390041,-1.0,0.6669731140136719,1.678800745532942e-05
22,1276,0.5569660843446337,0.6684799194335938,0.6684799194335938,1.649448048330184e-05
23,1334,0.5615280558323038,-1.0,0.6684799194335938,1.619093949309834e-05
24,1392,0.5563257480489796,0.6672242879867554,0.6684799194335938,1.5877852522924733e-05
25,1450,0.5580369306021723,-1.0,0.6684799194335938,1.5555702330196024e-05
26,1508,0.563424115037096,0.6685351133346558,0.6685351133346558,1.522498564715949e-05
27,1566,0.5483643083736814,-1.0,0.6685351133346558,1.4886212414969553e-05
28,1624,0.5652449824686708,0.6659027338027954,0.6685351133346558,1.453990499739547e-05
29,1682,0.5680391701131031,-1.0,0.6685351133346558,1.4186597375374285e-05
30,1740,0.5660133423476383,0.6646550893783569,0.6685351133346558,1.3826834323650902e-05
31,1798,0.5655171182648889,-1.0,0.6685351133346558,1.3461170570774934e-05
