epoch,step,train_loss,val_dice,best_dice,lr
1,240,1.0633436406652133,0.025923561304807663,0.025923561304807663,9.999238475781957e-05
2,480,1.0097749705115955,-1.0,0.025923561304807663,9.99695413509548e-05
3,720,0.9856287603576978,-1.0,0.025923561304807663,9.99314767377287e-05
4,960,0.9726844308276971,-1.0,0.025923561304807663,9.987820251299122e-05
5,1200,0.9546169973909855,0.11612754315137863,0.11612754315137863,9.980973490458728e-05
6,1440,0.9333346118529637,-1.0,0.11612754315137863,9.972609476841366e-05
7,1680,0.911846059312423,-1.0,0.11612754315137863,9.962730758206609e-05
8,1920,0.8965479212502638,-1.0,0.11612754315137863,9.95134034370785e-05
9,2160,0.87208331823349,-1.0,0.11612754315137863,9.938441702975686e-05
10,2400,0.8533309114476045,0.32415929436683655,0.32415929436683655,9.924038765061037e-05
11,2640,0.8316039063036442,-1.0,0.32415929436683655,9.908135917238317e-05
12,2880,0.8193507430454096,-1.0,0.32415929436683655,9.890738003669025e-05
13,3120,0.7997790237267812,-1.0,0.32415929436683655,9.871850323926173e-05
14,3360,0.7910422660410404,-1.0,0.32415929436683655,9.851478631379977e-05
15,3600,0.7800207202633221,0.3906033933162689,0.3906033933162689,9.829629131445336e-05
16,3840,0.7744190787275632,-1.0,0.3906033933162689,9.80630847969159e-05
17,4080,0.762170423567295,-1.0,0.3906033933162689,9.781523779815172e-05
18,4320,0.756550754358371,-1.0,0.3906033933162689,9.755282581475763e-05
19,4560,0.7537325240671635,-1.0,0.3906033933162689,9.72759287799658e-05
20,4800,0.7466121283670266,0.4292469024658203,0.4292469024658203,9.698463103929537e-05
21,5040,0.7360551305115223,-1.0,0.4292469024658203,9.667902132486004e-05
22,5280,0.7367163591086865,-1.0,0.4292469024658203,9.635919272833933e-05
23,5520,0.7358676465849082,-1.0,0.4292469024658203,9.602524267262199e-05
24,5760,0.7394129982839028,-1.0,0.4292469024658203,9.567727288213e-05
