case,dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,dice_class_6,dice_class_7,dice_class_8,dice_class_9,dice_class_10,dice_class_11,dice_class_12,dice_class_13,dice_class_14,dice_class_15
amos_0008,0.7994102239608765,0.9087973833084106,0.9299378395080566,0.9015315175056458,0.8035714030265808,0.8078585267066956,0.9578897356987,0.8712248802185059,0.9388351440429688,0.7989601492881775,0.8700185418128967,0.6940928101539612,0.0,0.7398869395256042,0.9238512516021729,0.8446979522705078
MEAN,0.7994102239608765,,,,,,,,,,,,,,,
